Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
Андрей Журавлев,"12 ноября 2024, отредактирован","Хорошее место, свежий воздух, вкусные завтраки, отзывчивый и внимательный персонал, прислушиваются к пожеланиям и просьбам. Стараются сделать проживание максимально комфортным.",5,Five Villas Hotel,4.6,108
Талгат Жамишеа,31 октября 2024,"Классные апартаменты,чистый воздух",5,Five Villas Hotel,4.6,108
Светлана Третьякова (Нурек),14 октября 2024,"Моим пожилым родителям пришлось ехать на операцию в Алматы, мы город не знаем, искала по интернету гостиницу рядом с больницей, наткнулась на этот отель, почитала отзывы, больше было положительных, им и доверилась, а когда позвонила по телефону забронировать номер, сомнений больше не осталось. Разговаривала с хозяином отеля, очень вежливый и приятный в разговоре человек. Боялась, что будут проблемы с заселением, т.к. поезд прибывал в Алматы ночью, но проблем не было. Встретил администратор, заселил в номер, уточнил время завтрака. Очень комфортные, уютные номера. Очень вежливый, внимательный и замечательный персонал. Огромное спасибо от меня и родителей за приятно проведенное время!",5,Five Villas Hotel,4.6,108
Татьяна С,"27 сентября 2024, отредактирован","Отличный отель! Просторно, чисто, аккуратно, вежливый и внимательный персонал! Своя приятная атмосфера!",5,Five Villas Hotel,4.6,108
Бекмырза Тулендибаев,22 сентября 2024,"Отель расположен в престижном районе, что сразу создает ощущение комфорта и высокого статуса. Проживание полностью оправдало ожидания высокого уровня сервиса. Номера просторные, чистые, с современным дизайном и удобными кроватями. Персонал очень дружелюбный и всегда готов помочь. Завтраки вкусные, блюда свежие и хорошо приготовленные. Особенно поразили виды: горы вокруг создают невероятную атмосферу спокойствия и уюта. Идеальное место для тех, кто хочет насладиться природой и свежим воздухом. Очень рекомендую этот отель для комфортного отдыха!",5,Five Villas Hotel,4.6,108
Айкося Сиралина,"17 сентября 2024, отредактирован",Прикольно вайб турецкого пансионата !,5,Five Villas Hotel,4.6,108
Unknown,9 сентября 2024,"Отличный отель! Сервис на высоте! В номере ИДЕАЛЬНАЯ чистота! Бронировали номер заранее, всё рассказали, подсказали. Встретили нас ночью, с теплотой и максимальной вежливостью к гостям Вашего города! Помогли сориентироваться в городе Алматы, помогли с такси. Спасибо огромное за такой радужный прием! Процветания Вам и побольше адекватных посетителей! Добра",5,Five Villas Hotel,4.6,108
Сергей Титенок,8 сентября 2024,"Это не отель, это гостевой дом, со всей, вытекающей из этого разницей. Машины ставят прямо под окном, звукоизоляции между номерами толком нет, телевизоры есть далеко не в каждом номере.",2,Five Villas Hotel,4.6,108
Анатолий Хромцов,7 сентября 2024,"Не советую, могут отменить бронь, сказать другое время за пару часов, не вернуть все деньги (по их причине)",1,Five Villas Hotel,4.6,108
Асет Канапия,6 сентября 2024,"Не советую, отменяют уже поставленную, оплаченную бронь.",1,Five Villas Hotel,4.6,108
Aru Pelmechec✨,6 сентября 2024,"Абсолютно возмутительный сервис! За пару часов до заселения мне позвонили и сообщили, что мое забронированное и оплачиваемое место заняли. Это просто неприемлемо! Я планировала свой отдых заранее, и отель подтвердил бронь, но в последний момент меня оставили без места. Они, конечно, предложили альтернативу в виде подсобки за ту же стоимость, не предложив при этом никаких скидок. Никакого уважения к гостям и их времени. Никому не советую бронировать этот отель, если не хотите оказаться в такой же неприятной ситуации!",1,Five Villas Hotel,4.6,108
Диас Зейнолла,6 сентября 2024,Не советую,1,Five Villas Hotel,4.6,108
Муслии Иулдашев,6 сентября 2024,"Обещали горы, даже заселится не успел уже у нас все занято ничего вовремя не осведомили все через одно место….",1,Five Villas Hotel,4.6,108
hhhjla,6 сентября 2024,"Все ужасно, обещали одно потом за пару часов до заселение поставили перед фактом, думаю какое отношение к клиентам такой и сервис!",1,Five Villas Hotel,4.6,108
Жансая Буашева,8 августа 2024,"Супер отель! Тихо;Чисто;все новое! Арендовали 3 этажа для кудалар, само то на большую компанию.Спасибо Бахыту и Даллену за гостеприимство!Рекомендую!",5,Five Villas Hotel,4.6,108
Арман Ибраев,"31 июля 2024, отредактирован","Ассаламу алейкум. Приехали с друзьями на 3 дня в отель. Обслуживание супер,администратор Даллену отдельное спасибо. Во всех моментах помог и сделал прибывание в этом отеле приятным. Завтраки очень вкусные,доставляют во время. Всем рекомендую данный отель",5,Five Villas Hotel,4.6,108
Karina Anatol'evna,"27 июля 2024, отредактирован","Ребята, НОМЕР ЧИСТЫЙ.
Мы взяли делюкс. Но НЕ СОВЕТУЮ.
Номер стоит 30 тысяч, но нету кондиционера, нету внутреннего телефона в номере что бы позвонить на ресепшн. Звонишь на сотовый не берут, не отвечают. Попросила в 10:00 завтрак в номер. Принесли аж в 10:20
С мужем ехали после мероприятия и о отзывам выбрали данное место. Не советую , не стоит своих денег. Жаль что другие гостиницы просто были не свободны.

На завтрак в яишнице был большой кусок шкарлупы🤦🏼‍♀️",1,Five Villas Hotel,4.6,108
Олеся Мананникова,20 июля 2024,Хороший отель,5,Five Villas Hotel,4.6,108
Е М,19 июля 2024,"Чисто и уютно, а главное отлаженный сервис, на все вопросы ответили, рекомендую",5,Five Villas Hotel,4.6,108
Aibol Omirzaq,18 июля 2024,"Остановились в этом отеле, так как удобно обходить все достопримечательности, Алмата моя любовь!",5,Five Villas Hotel,4.6,108
Rakhmanali Bulatov,17 июля 2024,"Чисто, номера большие, хорошее расположение.",5,Five Villas Hotel,4.6,108
Azamat Temirov,17 июля 2024,"Хорошее расположение, уютные и комфортные номера, хороший сервис, мне и моей жене понравилось.",5,Five Villas Hotel,4.6,108
Мая Коко,15 июля 2024,Отличное место для отдыха,5,Five Villas Hotel,4.6,108
Екатерина Кенжалина,15 июля 2024,"Разместили здесь наших зарубежных гостей и остались довольны! Дружелюбная атмосфера, чистый и уютный номер!",5,Five Villas Hotel,4.6,108
Apple User,15 июля 2024,Уютное место,5,Five Villas Hotel,4.6,108
Даниэль Алматы,15 июля 2024,Хорошее обслуживание!,5,Five Villas Hotel,4.6,108
Миру Мир,6 июля 2024,"Очень чисто , светлые номера, приятный персонал . Свежий воздух. Искренне рекомендую",5,Five Villas Hotel,4.6,108
Лаура Рахметова,5 июля 2024,"Были с мужем проездом в Ате, случайно нашли эту гостиницу (ее даже гостиницей тяжело назвать, все как дома и даже лучше) Персонал просто великолепный; номера чистые, уютные, за такую цену просто шикарные!!! Подальше от городской суеты (хотя не сказала бы,что далеко от центра), воздух шикарный, тихо, спокойно!!! Отдохнули на славу!!! А завтраки какие 😍😍😍 все приносят в номер, не надо спозаранку бежать вниз, даже спрашивают, во сколько удобно принести завтрак, чем вы сможете спокойно отдохнуть и не нестись спозаранку за едой 😂😅
Если выбираете где остановиться, советую без зазрения совести!!! Мы с мужем частенько бываем в Ате и не раз останавливались в разных гостиницах, эта покорила мое сердце!!! Однозначно приедем в след раз с детьми отдохнуть, теперь только сюда ❤️ и всем друзьям и знакомым по совету только сюда!!! ❤️❤️❤️
Спасибо Вам за шикарный отдых!!! 😘😘😘",5,Five Villas Hotel,4.6,108
Некий Ися,2 июля 2024,"Я недавно останавливался в Five Villas Hotel во время командировки в Алматы. Честно говоря, за такую стоимость я ожидал увидеть как минимум телевизор советского происхождения, мебель, которая еле дышит, или скрипучую кровать, ну или наглых работников. Но к моему приятному удивлению, в этом отеле такого нет.

Все четко: уютные номера, интернет, кабельное телевидение (как раз сейчас идет Евро). Все чисто, ночью никого не слышно в других номерах, хотя заполняемость была высокой. Еда, кстати, лучше, чем во многих кофейнях Алматы. Все приносят и преподносят очень вежливо и с улыбкой. Поэтому я поставил 5 звезд. Реально ни к чему не придраться. Я, конечно, не ревизор, но исходя из моего опыта посещения данного отеля, могу смело сказать «рекомендовано». Всех обнял. 👍🏽",5,Five Villas Hotel,4.6,108
М И,"29 июня 2024, отредактирован","Была с 28-29 июня 2024 г
Все понравилось, все новое, чистое, просторная комната. Цена отличная.👌🏻",5,Five Villas Hotel,4.6,108
Humor Humor,28 июня 2024,"Были 27.06 все супер , гостиница новая постельное белье полотенца все новое . Все понравилось и цена доступная!",5,Five Villas Hotel,4.6,108
Индира ААА,27 июня 2024,"Отличный отель, полностью соответствующий описанию на сайте.Великолепный сервис, очень чисто.Приветливый персонал,грамотное и вежливое руководство.Обязательно вернусь.",5,Five Villas Hotel,4.6,108
Seraf T,25 июня 2024,"Хорошая гостиница, по удобствам: новая мебель, есть все нужные ванные принадлежности плюс фен и тд
Местоположение тоже удобное, в любой момент времени можно объехать городскую пробку
Горный вид, свежесть и красоты в придачу. Пять звёзд!",5,Five Villas Hotel,4.6,108
Адиль Арыстанулы,25 июня 2024,"Отель превзошел все наши ожидания: комфортабельные номера, вежливый персонал и отличное расположение. Обязательно вернемся снова и будем рекомендовать его друзьям!",5,Five Villas Hotel,4.6,108
Alibek Rabatov,"25 июня 2024, отредактирован","Супер. Комфортно как дома! Все чисто, уютно, спокойно. Свежий воздух. Отличное место для отдыха от городской суеты",5,Five Villas Hotel,4.6,108
Askar Zhakhmetov,25 июня 2024,"Классное тихое место, свежий воздух, тихий район, выспался шикарно, завтрак добротный вкусно и сытно, отель прикольный чисто и уютно. В связи переносом рейса пришлось попросить раннее заселение, администратор без проблем и без доп расходов позволил заехать в 11:00 за что огромное спасибо, фото до того как раскидал свои вещи приложил.
Всем удачных путешествий",5,Five Villas Hotel,4.6,108
Kogershin Chakeikhan,"23 июня 2024, отредактирован","Местоположение 🔥, чистые номера, уютно! Всем рекомендую!",5,Five Villas Hotel,4.6,108
Zhanibek Jaukenov,23 июня 2024,"Удобно и комфортно! Отличный отель в черте города, добирался очень быстро до встреч, в центре города. Отель хорошо подойдет, как для поезд по работе, так и просто отдохнуть семьей)",5,Five Villas Hotel,4.6,108
Рус Анисов,22 июня 2024,Классное место!,5,Five Villas Hotel,4.6,108
Chingiz Dzhakubaliev,20 июня 2024,Это топовый отель!!! Очень чисто и уютно! Все условия созданы для комфортного пребывания в отеле! Вежливый персонал! Всем рекомендую!,5,Five Villas Hotel,4.6,108
Марина Лиховид,26 апреля 2025,"Сломанные ламели на кровати, грязно. Сервис отстой.",1,DE LUXE PLAZA,4.6,712
ernar orazmetov,25 апреля 2025,"Ужасный отель
Матрас с пружинами
Комнаты маленькие
Мы были с ребенком он был в шоке тоже
Общем места для шпок походу",1,DE LUXE PLAZA,4.6,712
Bekzat,24 апреля 2025,"Ужасно просто, ужасный пастель везде волосы как будто кто-то был до нас👎👎",1,DE LUXE PLAZA,4.6,712
Era Shatle,23 апреля 2025,Жесть,1,DE LUXE PLAZA,4.6,712
Zhadra Shingissova,"18 апреля 2025, отредактирован","Очень вежливый и преветливый персонал!!!
Наргиз душка❤️",5,DE LUXE PLAZA,4.6,712
Жумарт Есентаев,16 апреля 2025,Не стоит потраченных денег,1,DE LUXE PLAZA,4.6,712
Алиджон Авзалов,15 апреля 2025,👍👍,5,DE LUXE PLAZA,4.6,712
Apple User,2 апреля 2025,Good,5,DE LUXE PLAZA,4.6,712
Kenesbaev Ulan,1 апреля 2025,"Очень удобное расположение. Цены приятные не смотря на престижное расположение гостиницы. Персонал отзывчивый, в номерах было чисто.
Одним словом нам все понравилось!",5,DE LUXE PLAZA,4.6,712
Тамирлан Кенжетаев,1 апреля 2025,"Отличное расположение отеля все в шаговой доступности. Персонал вежливый мы останавливались на кудалык с родственниками, все отлично близко все достопримечательности отличные кафе ресторанны через дорогу советую",5,DE LUXE PLAZA,4.6,712
Assel Magai,"1 апреля 2025, отредактирован","само месторасположение отличное, есть где погулять. Но!!! сам отель ужасный, полотенца вонючие, будто рота солдат ноги вытирала и такие застиранные что им лет 10 не меньше, заметила что клинер этим же прлотенцем унитаз протирает а потом и посуду в номере, розетки с корнями выдернуты, на постели пятна крови, хорчки. Вонь в номерах, нас переселили в другой, не чуть не лучше, но чище был. Двери будто со времен СССР не менялись, замки все ели ели дышат, под дверьми щель что спокойно кошка пролезет. Вообщем от слова совсем не уютная, не чистая, не подходит под стандарты 3 звезд. В Узбекистане 3 звезды ✨ это шикарные гостиницы, мы думали они 5 звездочные, реально шикарные, не то что в нашем Казахстане. Заселяла нас фирма, но и им посоветовали не сотрудничать с этим отелем, с детьми там вообще делать нечего,хорошо детей забрали родственники на ночь. Отвратительно, плюс нет ресторана, о завтраках думать надо самим. Не тратьте свои деньги на это т отель, есть видео жаль не грузит сюда",1,DE LUXE PLAZA,4.6,712
DENIS GIZATULLINOV,9 марта 2025,Все супер,5,DE LUXE PLAZA,4.6,712
Arteta Artet,"28 февраля 2025, отредактирован",Орналасқан жері өте жақсы және ыңғайлы. Бөлмедегі заттарды жаңартуға кеңес беремін.,5,DE LUXE PLAZA,4.6,712
Лучшая Из лучших,20 февраля 2025,"Ужасная гостиница. Всю ночь шумели горничные, душевая кабинка не закрывается. Двери выбитые . Не советую .",1,DE LUXE PLAZA,4.6,712
Александра Гильмудинова,15 февраля 2025,"Остановились на 2 дня. Чисто, комфортно и удобное расположение. Советую",5,DE LUXE PLAZA,4.6,712
Chingiz TT,9 февраля 2025,"До чего только не при тронешься все отваливается: дверь от шкафа, душевая кабина шатается и дверь не закрывается, и кровать не удобная, цене не соответствует к сожалению",1,DE LUXE PLAZA,4.6,712
Kairat Saparbayev,29 января 2025,"Отличное расположение, цена соответствует качеству услуг! Всё рядом:Рестораны, развлечения, акимат, ТРЦ ""ДОСТЫК ПЛАЗА"" через дорогу!!!💯💥👍👍👍🙏",5,DE LUXE PLAZA,4.6,712
Жанна,22 января 2025,Мадина саган коп коп рахмет. Өте комфортна демалдық🥰,5,DE LUXE PLAZA,4.6,712
Gauhkar Sandybaeva,22 января 2025,Мадина Индира оте керемет карсы алды ♥️♥️ оте жогары сапада кызмет корсетти♥️ коп рахмет♥️ тагы келемиз♥️♥️,5,DE LUXE PLAZA,4.6,712
Medina Mukhit,20 января 2025,Замечательный тайский спа рядом,5,DE LUXE PLAZA,4.6,712
Apple User,"15 января 2025, отредактирован","Очень хороший отель,комфортный, расположение хорошое",5,DE LUXE PLAZA,4.6,712
Jaroslav Bulatov,15 января 2025,"Хорошая и отзывчивая администрация на ресепшене, войдут в положение, помогут с решением вопросов! Хорошие цены и приятные номера, а также шикарное местоположение!",5,DE LUXE PLAZA,4.6,712
inst: @ M_Ablayovv,13 января 2025,обслуживает не очень,4,DE LUXE PLAZA,4.6,712
baidibek baidibek,"10 января 2025, отредактирован",Очень хороший рессепшн👍,5,DE LUXE PLAZA,4.6,712
Жанболат Бектурганов,"31 декабря 2024, отредактирован","Хорошо гостиница , очень уютная👍🏻это я не писал от куда это коментария я вапше шоке есьли вы не докажете что я там был я подам суд",5,DE LUXE PLAZA,4.6,712
Ирина Эммерих,"29 декабря 2024, отредактирован","Доброжелательный персонал, хоть и небольшие, но чистые и уютные номера. Недалеко Коктюбе, совсем рядом Достык Плаза, из номера видно горы. Все понравилось ! Спасибо большое",5,DE LUXE PLAZA,4.6,712
Ерлан Кожабаев,27 декабря 2024,26.12.2024 ж.207 номерде душ жұмыс жасамайды. Тазартуға шақырдық 2-рет.Ешкім келмеді.3-адамға жатын орын жайсыз.Бағасына сай емес.,1,DE LUXE PLAZA,4.6,712
Khamz Xmz,9 декабря 2024,"Отель очень хороший, сервис топовый, сотрудник Бакдаулет очень клиентоориентированый хорошо запомнился",5,DE LUXE PLAZA,4.6,712
Лаулат Мұхаметқажы,9 декабря 2024,"Очень хорошое обслуживание, и в целом хороший отель🙌🏽",5,DE LUXE PLAZA,4.6,712
Диас Тоганов,9 декабря 2024,Гостинца унады сервис жаксы тап таза👍👍👍,5,DE LUXE PLAZA,4.6,712
Bakdaulet Aldash,9 декабря 2024,Очень классная гостиница🔥,5,DE LUXE PLAZA,4.6,712
mar_011 _,"9 декабря 2024, отредактирован",Жақсы өте керемет сапалы маған ұнады,5,DE LUXE PLAZA,4.6,712
Домовенок Кузя,"9 декабря 2024, отредактирован",Средний уровень.,3,DE LUXE PLAZA,4.6,712
Нурсулу К,9 декабря 2024,Хорошая гостиница👍,5,DE LUXE PLAZA,4.6,712
Nurbol,8 декабря 2024,"De Luxe Plaza қонақ үйіне тоқтағанымда, жоғары деңгейдегі қызмет көрсету мен жайлы жағдайлар маған үлкен әсер қалдырды. Бірінші кезекте, қызметкерлердің мейірімділігі мен кәсібилігін атап өткім келеді. Қонақ үйге кірген сәттен бастап, олар барынша көмек көрсетуге дайын екенін сезіндім. Ресепшн қызметкерлері тез және тиімді жұмыс істеп, менің сұрақтарыма нақты жауап берді.

Нөмірлер заманауи жиһаздармен жабдықталған, тазалығы өте жоғары деңгейде. Төсек орындары өте ыңғайлы, ал бөлмелердің акустикасы керемет: сырттан ешқандай шулы дыбыстар естілмейді. Сонымен қатар, қонақ үйде жылдам Wi-Fi желісі бар, бұл әсіресе іскерлік мақсатта келушілер үшін өте маңызды.

Таңғы ас мәзірі әртүрлі әрі дәмді болды. Жергілікті және халықаралық тағамдардан таңдау жасау мүмкіндігі ерекше ұнады. Қонақ үйдің орналасуы да қолайлы – қала орталығына жақын, негізгі көрнекі орындарға жаяу жетуге болады.

De Luxe Plaza – жайлылық пен жоғары қызмет көрсетуді бағалайтындар үшін мінсіз таңдау. Келесі сапарымда міндетті түрде осында тоқтаймын!",5,DE LUXE PLAZA,4.6,712
Sula Rkh,"7 декабря 2024, отредактирован",Менеджер Талгат молодец 👍🏻,5,DE LUXE PLAZA,4.6,712
Михаил Андреев,4 декабря 2024,"Только переночевать! И хорошо работает интернет.
Ремонт очень очень слабый! Много косяков. Хорошее месторасположение. Очень сомнительно что в следующей раз заеду в этот отель.",2,DE LUXE PLAZA,4.6,712
Матвей .,29 ноября 2024,"Гостиница оставила исключительно положительные впечатления. Номер был просторным, чистым и оснащён современными удобствами. Кровать удобная, кондиционер работал без перебоев. Персонал внимательный и доброжелательный, готов был ответить на все вопросы и помочь с любыми запросами. Завтрак разнообразный и вкусный, с широким выбором блюд. Также приятно порадовало расположение отеля — в пешей доступности находятся рестораны и магазины, а до основных достопримечательностей можно добраться за несколько минут. Единственный минус — не очень хорошая шумоизоляция, но это не сильно повлияло на комфорт. В целом, это отличное место для комфортного отдыха и командировок. Рекомендую!",5,DE LUXE PLAZA,4.6,712
Onerjan Nikolay,28 ноября 2024,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,5,DE LUXE PLAZA,4.6,712
Әліби Әлдибай,28 ноября 2024,"Этот отель полностью оправдывает свою высокую оценку! Номера просторные, стильные и безупречно чистые, с современным дизайном и всеми необходимыми удобствами. Постельное белье и мебель — высочайшего качества, что гарантирует комфортный отдых. Персонал внимательный, профессиональный и всегда готов помочь, создавая атмосферу настоящего гостеприимства.Завтраки выше всяких похвал: разнообразие блюд, свежесть продуктов и красивая подача впечатляют.Инфраструктура продуманная: бассейн, фитнес-зал, спа и другие удобства на уровне.Отель идеально подходит как для деловых поездок, так и для отдыха. Здесь все продумано до мелочей, и хочется вернуться снова!",5,DE LUXE PLAZA,4.6,712
Хамид Жалелов,24 ноября 2024,"Таза, уютно, ыңғайлы.
Бізге өте қатты унады. Бірнеше рет осы гостиницаны жалдадық.
Телевизорда гугл, ютуб косылган. Ен бастысы тыныш.",5,DE LUXE PLAZA,4.6,712
Газиз Гайменов,24 ноября 2024,Останавливался в гостинице DE LUXE PLAZA Администратор отличный работник и главное вежливая так держать !!!,5,DE LUXE PLAZA,4.6,712
Мадина Шаймедденова,24 ноября 2024,"Гостиница, где время останавливается! Великолепные номера, прекрасный вид из окон, обслуживание на высочайшем уровне. Вернусь сюда снова!",5,DE LUXE PLAZA,4.6,712
Мади Айбакулы,24 ноября 2024,"Все чисто,есть мини бар с доставкой в номер, кондиционер работает,персонал обходительный",5,DE LUXE PLAZA,4.6,712
Джамал Хамитов,24 ноября 2024,"Очень хороший, опрятный и уютный отель. Имеются в наличии все предметы первой необходимости. Персонал очень вежливый, дружелюбный. Отдельное спасибо персоналу, за позитив и заботу. Советую брать здесь номера, не ошибетесь😁",5,DE LUXE PLAZA,4.6,712
Талгат Джамалов,23 ноября 2024,Всё понравилось. В следующий раз остановлюсь именно там,5,DE LUXE PLAZA,4.6,712
Нурназ Байменов,23 ноября 2024,"Часто останавливаюсь в этом отеле. Чисто, уютно, отзывчивый персонал, соответствующая цена, удобная локация.",5,DE LUXE PLAZA,4.6,712
Alua Kayratova,23 ноября 2024,"Лучшая гостиница за свою цену
Всегда чисто и свежо",5,DE LUXE PLAZA,4.6,712
Анеля Жулдыбаева,23 ноября 2024,"У нас традиция оставаться в DE LUXE PLAZA на выходные,всегда чисто,тёплое отношение админов !Приемлемые цены!
Спасибо!!!",5,DE LUXE PLAZA,4.6,712
Равиль Калиев,23 ноября 2024,"Очень чисто, уютно и приятно находиться в номерах👍",5,DE LUXE PLAZA,4.6,712
Marcelo Molina,24 апреля 2025,Nice,3,MILDOM EXPRESS HOTEL,4.3,258
Динара Даниярова,17 апреля 2025,"Хороший отель, маленький, чистый, уютный, тихий
Все понравилось",5,MILDOM EXPRESS HOTEL,4.3,258
Farkhad Akhanov,31 марта 2025,"Очень уютные номера, персонал есть что радует их не заметно. Главное чистота",5,MILDOM EXPRESS HOTEL,4.3,258
Alex Nov,15 марта 2025,"Отличный, чистый, хорошо ра положенный отель. Комнаты небольшие, но все грамотно расположено. Прекрасное место для тех, кто в командировке.
Очень милый, предусмотрительный и профессиональный персонал.",5,MILDOM EXPRESS HOTEL,4.3,258
Нэлля Сайдашева,10 марта 2025,Отличный отель!Отличный сервис!Приятный персонал!Чистые уютные номера!,5,MILDOM EXPRESS HOTEL,4.3,258
kuralai Abilkairovaa,27 февраля 2025,"Очень хороший отель.Арай очень вежливая,комфортная девушка.Обязательно будем ещё приезжать👍🏻",5,MILDOM EXPRESS HOTEL,4.3,258
Ilyas M,27 февраля 2025,"Очень хороший отель за свои деньги, очень удобный все рядом",5,MILDOM EXPRESS HOTEL,4.3,258
Aiyym Sakieva,26 февраля 2025,"Девушка на ресепшене Арай приятная и вежливая. Обслуживание отличное, спасибо большое! Обязательно вернёмся ещё раз.💕💕",5,MILDOM EXPRESS HOTEL,4.3,258
Zhuldyz Zhunis,26 февраля 2025,"Отличный отель👍
Чисто, уютно, персонал приветливый и удобное местоположение. Все понравилось😍🥰",5,MILDOM EXPRESS HOTEL,4.3,258
B 🖤,26 февраля 2025,"Номера оказались уютными, чистыми и функциональными. Ежедневная уборка проводилась на высоком уровне, что создавало ощущение уюта и заботы о гостях. Рекомендую всем, кто хочет провести отпуск с комфортом и удовольствием!",5,MILDOM EXPRESS HOTEL,4.3,258
Акбаян Асылбекова,26 февраля 2025,Очень хороший отель. Вежливый пресонал👍🏻Все чисто и уютно😊,5,MILDOM EXPRESS HOTEL,4.3,258
Мадина Спанова,"16 февраля 2025, отредактирован",Вежливый персонал очень!!!на ресепшен девушки молодцы! Чисто уютно все спокойно ☺️.можно остановится 👍🏻,4,MILDOM EXPRESS HOTEL,4.3,258
Dinara Toleu,13 февраля 2025,"Все понравилось ,отличное обслуживание",5,MILDOM EXPRESS HOTEL,4.3,258
Жупар Мухамерова,13 февраля 2025,удобное расположение.Очень понравилась☺️Еще вернусь👍,5,MILDOM EXPRESS HOTEL,4.3,258
Ассель Хайрулла,13 февраля 2025,"Классный отель, тишина чисто. Матрас твердый самое то выспаться",5,MILDOM EXPRESS HOTEL,4.3,258
Кайсар Муратбек,12 февраля 2025,"Отличный отель, чистый уютный, расположение 👍",5,MILDOM EXPRESS HOTEL,4.3,258
Толкын Нартаева,12 февраля 2025,"Өте жақсы, таза жылы. Бағасы кішкене қымбаттау",4,MILDOM EXPRESS HOTEL,4.3,258
Валихан Асымканов,"9 февраля 2025, отредактирован","Классное место , чисто уютно и не дорого",4,MILDOM EXPRESS HOTEL,4.3,258
